Código;Operadora;Porte;Região;status
314315;Uniodonto Do Brasil Central Nacional Das Co; 50.001 a 100.000 beneficiarios;Sudeste;ativa
314366;Dental Plus Convenio Odontologico Ltda.; 50.001 a 100.000 beneficiarios;Sudeste;ativa
314587;Unimed Vicosa - Cooperativa De Trabalho Med; 10.001 a 20.000 beneficiarios;Sudeste;ativa
314668;Abertta Saude - Associacao Beneficente Dos; 50.001 a 100.000 beneficiarios;Sudeste;ativa
314706;Hospital Cesar Leite; 5.001 a 10.000 beneficiarios;Sudeste;ativa
314757;Centro Odontologico Integrado Ltda; 1 a 5.000 beneficiarios;Centro Oeste;ativa
314781;Unimed De Dracena - Cooperativa De Trabalho; 5.001 a 10.000 beneficiarios;Sudeste;ativa
314871;Uniodonto Sudoeste Goiano - Cooperativa De; 10.001 a 20.000 beneficiarios;Centro Oeste;ativa
315044;Fundacao Celesc De Seguridade Social - Celo; 20.001 a 50.000 beneficiarios;Sul;ativa
315265;Parana Assistencia Medica Ltda; 20.001 a 50.000 beneficiarios;Sul;ativa
315478;Fundacao Cesp; 50.001 a 100.000 beneficiarios;Sudeste;ativa
315494;Unimed Noroeste De Minas Cooperativa De Tra; 10.001 a 20.000 beneficiarios;Sudeste;ativa
315567;Fundacao Affemg De Assistencia E Saude - Fu; 10.001 a 20.000 beneficiarios;Sudeste;ativa
315583;Caixa De Assistencia Dos Empregados Do Bane; 1 a 5.000 beneficiarios;Nordeste;ativa
315630;Insolvencia Civil De Social-Sociedade Assis;0;0;inativa
315648;Unimed Cataguases Cooperativa De Trabalho M; 10.001 a 20.000 beneficiarios;Sudeste;ativa
315729;Unimed De Piracicaba Sociedade Cooperativa; 100.001 a 500.000 beneficiarios;Sudeste;ativa
315796;Unimed De Presidente Prudente Cooperativa D; 100.001 a 500.000 beneficiarios;Sudeste;ativa
315818;Uniodonto Ponta Grossa Cooperativa Odontolo; 5.001 a 10.000 beneficiarios;Sul;ativa
316148;Unimed Pocos De Caldas - Soc. Coop. De Trab; 20.001 a 50.000 beneficiarios;Sudeste;ativa
316458;Unimed Regional De Floriano - Cooperativa D; 1 a 5.000 beneficiarios;Nordeste;ativa
316491;Irmandade Da Santa Casa Da Misericordia De;0;0;inativa
316849;Telos - Fundacao Embratel De Seguridade Soc; 1 a 5.000 beneficiarios;Sudeste;ativa
316873;Caixa De Assistencia A Saude Da Universidad; 10.001 a 20.000 beneficiarios;Sudeste;ativa
316881;Unimed Teofilo Otoni Cooperativa De Trabalh; 20.001 a 50.000 beneficiarios;Sudeste;ativa
316903;Polimedica Saude Sociedade Simples Ltda; 1 a 5.000 beneficiarios;Sul;ativa
316997;Uniodonto De Araraquara Cooperativa Odontol; 20.001 a 50.000 beneficiarios;Sudeste;ativa
317012;Cooperativa De Trabalho Medico Do Planalto; 10.001 a 20.000 beneficiarios;Sul;ativa
317144;Unimed De Fortaleza Sociedade Cooperativa M; 100.001 a 500.000 beneficiarios;Nordeste;ativa
317233;Fundacao Chesf De Assistencia E Seguridade; 10.001 a 20.000 beneficiarios;Nordeste;ativa
317501;Interodonto - Sistema De Saude Odontologica;0;0;inativa
317632;Associacao Dos Auditores Fiscais Da Receita; 10.001 a 20.000 beneficiarios;Sudeste;ativa
317896;Unimed Vertente Do Caparao - Cooperativa De; 10.001 a 20.000 beneficiarios;Sudeste;ativa
318035;Unimed Guaxupe Cooperativa De Trabalho Medi; 20.001 a 50.000 beneficiarios;Sudeste;ativa
318213;Cooperativa De Trabalho Medico Regiao Do Pl; 10.001 a 20.000 beneficiarios;Sul;ativa
318299;Beneficencia Camiliana Do Sul; 50.001 a 100.000 beneficiarios;Sudeste;ativa
318388;Unimed De Sao Roque - Cooperativa De Trabal; 20.001 a 50.000 beneficiarios;Sudeste;ativa
318477;Operadora Unicentral De Planos De Saude Ltd; 10.001 a 20.000 beneficiarios;Sudeste;ativa
318566;Unimed Metropolitana Do Agreste - Cooperati; 20.001 a 50.000 beneficiarios;Nordeste;ativa
319121;Unimed Divinopolis - Cooperativa De Trabalh; 100.001 a 500.000 beneficiarios;Sudeste;ativa
319180;Sao Domingos Saude- Assistencia Medica  Ltd; 10.001 a 20.000 beneficiarios;Sudeste;ativa
319350;Uniodonto Taubate Cooperativa De Trabalho O; 10.001 a 20.000 beneficiarios;Sudeste;ativa
319384;Unimed Planalto Medio/Rs - Cooperativa De A; 20.001 a 50.000 beneficiarios;Sul;ativa
319422;Irmandade Da Santa Casa De Misericordia De; 20.001 a 50.000 beneficiarios;Sudeste;ativa
319708;Unimed Santa Maria/Rs - Cooperativa De Assi; 20.001 a 50.000 beneficiarios;Sul;ativa
319872;Camim Operadora De Plano De Saude Ltda; 1 a 5.000 beneficiarios;Sudeste;ativa
319996;Unimed Do Estado De Sao Paulo - Federacao E; 100.001 a 500.000 beneficiarios;Sudeste;ativa
320111;Massa Falida De Saude Sim Ltda;0;0;inativa
320251;Unimed Rio Verde Cooperativa Trabalho Medic; 50.001 a 100.000 beneficiarios;Centro Oeste;ativa
320510;Ativia Servicos De Saude S/A; 5.001 a 10.000 beneficiarios;Sudeste;ativa
320587;Empresa Brasileira De Telecomunicacoes S.A;0;0;inativa
320706;Unimed Sul Capixaba Cooperativa De Trabalho; 100.001 a 500.000 beneficiarios;Sudeste;ativa
320820;Caixa De Assistencia Sistema Saude Integral; 10.001 a 20.000 beneficiarios;Sul;ativa
320838;Unimed Intrafederativa Federacao Regional S; 1 a 5.000 beneficiarios;Sudeste;ativa
320862;Unimed De Paranavai Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Sul;ativa
320897;Unimed Centro Sul Fluminense Cooperativa De; 10.001 a 20.000 beneficiarios;Sudeste;ativa
321044;Unimed Joao Pessoa - Cooperativa De Trabalh; 100.001 a 500.000 beneficiarios;Nordeste;ativa
321087;Unimed Marques De Valenca Cooperativa De Tr; 5.001 a 10.000 beneficiarios;Sudeste;ativa
321125;Uniodonto Maceio Cooperativa Odontologica; 50.001 a 100.000 beneficiarios;Nordeste;ativa
321273;Unimed De Joinville Cooperativa De Trabalho; 100.001 a 500.000 beneficiarios;Sul;ativa
321320;Irmandade Da Santa Casa De Misericordia E M; 5.001 a 10.000 beneficiarios;Sudeste;ativa
321338;Ameron - Assistencia Medica Rondonia S/A.; 5.001 a 10.000 beneficiarios;Norte;ativa
321931;Conferencia Sao Jose Do Avai; 10.001 a 20.000 beneficiarios;Sudeste;ativa
321958;Unimed Do Ceara - Federacao Das Sociedades; 50.001 a 100.000 beneficiarios;Nordeste;ativa
322261;Unimed De Feira De Santana Cooperativa De T;0;0;inativa
322326;Associacao Beneficente Catolica; 20.001 a 50.000 beneficiarios;Sudeste;ativa
322571;Unimed Guarapuava Cooperativa De Trabalho M; 20.001 a 50.000 beneficiarios;Sul;ativa
322831;Unimed Itajuba Cooperativa De Trabalho Medi; 20.001 a 50.000 beneficiarios;Sudeste;ativa
322890;Dentalpar Assistencia Odontologica Empresar; 20.001 a 50.000 beneficiarios;Sudeste;ativa
323004;Unimed De Penapolis - Cooperativa De Trabal; 5.001 a 10.000 beneficiarios;Sudeste;ativa
323055;Unimed Norte Paulista - Cooperativa De Trab; 10.001 a 20.000 beneficiarios;Sudeste;ativa
323080;Geap Autogestao Em Saude; 100.001 a 500.000 beneficiarios;Centro Oeste;ativa
323268;Unimed Vale Do Sao Francisco Cooperativa De; 50.001 a 100.000 beneficiarios;Nordeste;ativa
323357;Unimed Cabo Frio Cooperativa Trabalho Medic; 10.001 a 20.000 beneficiarios;Sudeste;ativa
323926;Unimed Sao Joao Del Rei - Cooperativa De Tr; 20.001 a 50.000 beneficiarios;Sudeste;ativa
323942;Fundacao Filantropica E Beneficente De Saud; 10.001 a 20.000 beneficiarios;Sudeste;ativa
323993;Unimed Petropolis-Rj Cooperativa De Trabalh; 20.001 a 50.000 beneficiarios;Sudeste;ativa
324159;Unimed Alta Mogiana Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Sudeste;ativa
324175;Unimed Sudoeste De Minas Cooperativa De Tra; 5.001 a 10.000 beneficiarios;Sudeste;ativa
324213;Unimed Norte/Nordeste-Federacao Interfedera; 1 a 5.000 beneficiarios;Nordeste;ativa
324299;Plamer Plano Medico Resende Ltda; 5.001 a 10.000 beneficiarios;Sudeste;ativa
324345;Unimed Costa Do Descobrimento Cooperativa D; 20.001 a 50.000 beneficiarios;Nordeste;ativa
324361;Caixa De Assistencia a Saude - Caberj; 10.001 a 20.000 beneficiarios;Sudeste;ativa
324477;Caixa De Previdencia E Assistencia Dos Serv; 10.001 a 20.000 beneficiarios;Sudeste;ativa
324493;S.P.A Saude- Sistema De Promocao Assistenci; 20.001 a 50.000 beneficiarios;Sudeste;ativa
324523;Unimed Paraiba - Federacao Das Sociedades C; 1 a 5.000 beneficiarios;Nordeste;ativa
324566;Unimed De Catalao Cooperativa De Trabalho M; 10.001 a 20.000 beneficiarios;Centro Oeste;ativa
324710;Servico De Assistencia Odontologica Social; 1 a 5.000 beneficiarios;Sudeste;ativa
324892;Cetesb - Companhia Ambiental Do Estado De S; 1 a 5.000 beneficiarios;Sudeste;ativa
325031;Unimed De Lencois Paulista - Cooperativa De; 20.001 a 50.000 beneficiarios;Sudeste;ativa
325074;Green Line Sistema De Saude S.A;0;0;inativa
325082;Unimed Do Oeste Da Bahia Cooperativa De Tra; 1 a 5.000 beneficiarios;Nordeste;ativa
325236;Assistencia Medica Sao Miguel Ltda; 50.001 a 100.000 beneficiarios;Sudeste;ativa
325341;Organizacao Medica Clinihauer Ltda;0;0;inativa
325465;Ampara Assistencia Medica Paraiso Ltda; 5.001 a 10.000 beneficiarios;Sudeste;ativa
325571;Unimed Serra Gaucha/Rs Cooperativa De Assis; 100.001 a 500.000 beneficiarios;Sul;ativa
326305;Amil Assistencia Medica Internacional S.A.; Acima de 500.000 beneficiarios;Sudeste;ativa
326500;Sobam Centro Medico Hospitalar S.A.; 100.001 a 500.000 beneficiarios;Sudeste;ativa
326755;Associacao Evangelica Beneficente De Londri; 50.001 a 100.000 beneficiarios;Sul;ativa
326861;Promedica - Protecao Medica A Empresas S.A.; 50.001 a 100.000 beneficiarios;Nordeste;ativa
327093;Uniodonto Bebedouro - Cooperativa Odontolog; 10.001 a 20.000 beneficiarios;Sudeste;ativa
327107;Amesp Sistema De Saude Ltda;0;0;inativa
327328;Casa De Saude Nossa Senhora De Fatima  Ltda; 1 a 5.000 beneficiarios;Nordeste;ativa
327352;Unimed Sao Sebastiao Do Paraiso Cooperativa; 5.001 a 10.000 beneficiarios;Sudeste;ativa
327417;Austaclinicas Assistencia Medica E Hospital; 50.001 a 100.000 beneficiarios;Sudeste;ativa
327441;Uniodonto Sudeste Mineiro Cooperativa De Sa; 10.001 a 20.000 beneficiarios;Sudeste;ativa
327468;Unimed Sudoeste Paulista Cooperativa De Tra; 5.001 a 10.000 beneficiarios;Sudeste;ativa
327557;Caixa Assistencial E Beneficente Dos Funcio; 10.001 a 20.000 beneficiarios;Sul;ativa
327638;Unimed Sao Joao Nepomuceno Cooperativa De T; 5.001 a 10.000 beneficiarios;Sudeste;ativa
327689;Unimed Maceio Cooperativa De Trabalho Medic; 100.001 a 500.000 beneficiarios;Nordeste;ativa
327867;Denticao Convenios Odontologicos Ltda; 10.001 a 20.000 beneficiarios;Sul;ativa
328031;Unimed Federacao Do Estado Do Mato Grosso; 1 a 5.000 beneficiarios;Centro Oeste;ativa
328294;Unimed Nordeste Paulista - Fed. Intrafedera; 20.001 a 50.000 beneficiarios;Sudeste;ativa
328308;Unimed De Mococa Cooperativa De Trab. Medic; 10.001 a 20.000 beneficiarios;Sudeste;ativa
328375;Unimed Regiao Da Fronteira - Rs Cooperativa; 1 a 5.000 beneficiarios;Sul;ativa
328537;Med-Tour Administradora De Beneficios E Emp; 50.001 a 100.000 beneficiarios;Sudeste;ativa
329282;Industrias Nucleares Do Brasil S/A - Inb; 1 a 5.000 beneficiarios;Sudeste;ativa
329339;Unimed De Criciuma Cooperativa De Trabalho; 50.001 a 100.000 beneficiarios;Sul;ativa
329355;Irmandade De Misericordia De Porto Ferreira; 10.001 a 20.000 beneficiarios;Sudeste;ativa
329665;Fundacao Capital Previdencia E Saude - Capi; 1 a 5.000 beneficiarios;Sudeste;ativa
329886;Unimed De Jaboticabal Coop. De Trabalho Med; 20.001 a 50.000 beneficiarios;Sudeste;ativa
329967;Mattos Odontologia Ltda; 1 a 5.000 beneficiarios;Sudeste;ativa
330051;Companhia De Engenharia De Trafego - Cet; 10.001 a 20.000 beneficiarios;Sudeste;ativa
330108;Unimed Curvelo Cooperativa De Trabalho Medi; 20.001 a 50.000 beneficiarios;Sudeste;ativa
330116;Santa Casa De Misericordia De Votuporanga; 10.001 a 20.000 beneficiarios;Sudeste;ativa
330264;Unimed De Barra Mansa Soc. Coop. Serv.Med.E; 10.001 a 20.000 beneficiarios;Sudeste;ativa
330281;Associacao Dos Auditores Fiscais Do Estado; 1 a 5.000 beneficiarios;Nordeste;ativa
330337;Sociedade Operaria Humanitaria;0;0;inativa
330566;Unimed Resende Cooperativa De Trabalho Medi; 10.001 a 20.000 beneficiarios;Sudeste;ativa
330809;Fundacao De Seguridade Social Da Arcelormit; 20.001 a 50.000 beneficiarios;Sudeste;ativa
330892;Associacao Saude Conceicao; 10.001 a 20.000 beneficiarios;Sul;ativa
331104;Uniodonto De Pindamonhangaba Coop Odontolog; 20.001 a 50.000 beneficiarios;Sudeste;ativa
331317;Real Grandeza - Fundacao De Previdencia E A; 20.001 a 50.000 beneficiarios;Sudeste;ativa
331341;Unimed De Bebedouro Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Sudeste;ativa
331651;Unimed Araxa Cooperativa De Trabalho Medico; 20.001 a 50.000 beneficiarios;Sudeste;ativa
331872;Unimed Sao Jose Dos Campos - Cooperativa De; 100.001 a 500.000 beneficiarios;Sudeste;ativa
331988;Pasa - Plano De Assistencia A Saude Do Apos; 20.001 a 50.000 beneficiarios;Sudeste;ativa
333051;Unimed De Guarulhos Cooperativa De Trabalho; 50.001 a 100.000 beneficiarios;Sudeste;ativa
333239;Sistema Prevsaude Dental Ltda; 5.001 a 10.000 beneficiarios;Nordeste;ativa
333620;Dental-Med Assistencia Odontologica S/S Ltd; 10.001 a 20.000 beneficiarios;Sul;ativa
333662;Unimed De Dourados Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
333689;Mediservice Operadora De Planos De Saude S.; 100.001 a 500.000 beneficiarios;Sudeste;ativa
333808;Irmandade De Misericordia Do Hospital Da Sa; 10.001 a 20.000 beneficiarios;Sudeste;ativa
333867;Associacao Unisaude Marau; 1 a 5.000 beneficiarios;Sul;ativa
333875;Irmandade Da Santa Casa De Misericordia De; 10.001 a 20.000 beneficiarios;Sudeste;ativa
334154;Unimed De Cacapava - Cooperativa De Trabalh; 10.001 a 20.000 beneficiarios;Sudeste;ativa
334189;Companhia Nacional De Abastecimento - Conab; 5.001 a 10.000 beneficiarios;Centro Oeste;ativa
334243;Uniodonto De Sorocaba Cooperativa Odontolog; 20.001 a 50.000 beneficiarios;Sudeste;ativa
334511;Unimed Vale Do Paraiba - Federacao Intrafed; 1 a 5.000 beneficiarios;Sudeste;ativa
334561;Unimed Blumenau - Cooperativa De Trabalho M; 100.001 a 500.000 beneficiarios;Sul;ativa
334588;Odonto System Planos Odontologicos Ltda;0;0;inativa
334847;Unimed De Jatai Cooperativa De Trabalho Med; 5.001 a 10.000 beneficiarios;Centro Oeste;ativa
335100;Unimed Sao Jose Do Rio Preto - Coop. De Tra; 100.001 a 500.000 beneficiarios;Sudeste;ativa
335215;Unimed Araruama Cooperativa De Trabalho Med; 10.001 a 20.000 beneficiarios;Sudeste;ativa
335258;Uniodonto De Fortaleza Cooperativa De Traba; 50.001 a 100.000 beneficiarios;Nordeste;ativa
335479;Unimed Nova Friburgo-Soc.Coop.Serv.Med.Hosp; 50.001 a 100.000 beneficiarios;Sudeste;ativa
335517;Unimed Itabira Cooperativa De Trabalho Medi; 20.001 a 50.000 beneficiarios;Sudeste;ativa
335525;Uniodonto Sao Carlos -  Cooperativa Odontol; 10.001 a 20.000 beneficiarios;Sudeste;ativa
335541;Unimed Vale Das Antas, Rs - Cooperativa De; 10.001 a 20.000 beneficiarios;Sul;ativa
335592;Unimed Natal Soc. Coop. De Trab. Medico; 100.001 a 500.000 beneficiarios;Nordeste;ativa
